2f	3f	6f	4f	15f	8f	16f	9f	17f	10f	18f	11f	12f	13f	14f
seq56	116	2433	17	0	120	24	25	82	0	7	31	970	24	150	0
seq57	0	0	0	0	0	0	0	0	0	0	0	0	4330	0	0
seq58	0	0	0	523	0	0	0	0	0	0	0	0	0	0	0
seq59	0	0	0	906	0	0	0	0	0	0	0	0	0	0	0
seq60	0	0	0	91	0	0	0	0	4	0	0	0	0	0	0
seq61	0	0	54	0	0	0	0	291	1436	82	1844	0	0	29	0
seq63	0	0	1789	0	0	0	0	0	0	828	21	0	1135	0	0
seq65	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0
seq66	0	0	0	0	0	0	0	165	581	62	1531	521	0	257	0
seq67	172	111	96	0	590	0	0	151	279	16	262	483	177	582	166
seq68	0	0	0	0	0	0	0	0	864	0	1112	592	0	457	82
seq69	0	0	0	0	0	0	0	38	352	0	2589	0	0	0	0
seq70	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0
seq72	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0
seq73	0	0	0	457	0	0	0	0	0	0	0	0	0	0	0
seq74	0	0	0	455	0	0	0	0	0	0	0	0	0	0	0
seq75	0	0	0	53	0	0	0	1953	0	0	0	0	6	0	0
seq76	0	0	0	30	0	0	0	0	4	0	0	0	0	0	0
seq77	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0
seq78	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0
seq79	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0
seq80	0	0	0	0	0	0	0	0	366	0	2284	0	0	0	0
seq81	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0
seq82	0	0	0	0	1827	0	0	0	0	0	20	0	424	0	189
seq83	594	0	467	0	0	73	0	610	212	196	3	0	137	239	210
seq84	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0
seq85	0	0	0	145	0	0	0	0	18	0	0	0	0	0	0
seq86	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0
seq87	0	0	0	159	0	0	0	0	5	0	0	0	0	0	0
seq88	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0
seq89	0	0	435	0	1401	0	10	0	12	0	0	397	0	0	0
seq90	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0
seq91	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0
seq92	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0
seq93	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0
seq94	61	0	24	0	873	138	110	151	510	49	250	103	176	0	0
seq95	577	0	593	0	0	0	0	195	0	297	0	220	208	257	0
seq96	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0
seq98	0	0	0	549	0	0	0	0	0	0	0	0	0	0	0
seq99	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0
seq100	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0
seq101	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0
seq102	0	43	0	0	154	2268	110	73	139	15	54	145	112	167	6
seq103	0	0	0	147	0	0	0	0	8	0	0	0	0	0	0
seq104	0	0	0	525	0	0	0	0	0	0	0	0	0	0	0
seq106	0	0	0	0	108	0	0	0	2320	0	0	0	0	0	0
seq107	0	0	0	1282	0	0	0	0	0	0	0	0	0	0	0
seq108	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0
seq110	0	0	0	47	0	0	0	0	8	0	0	0	0	0	0
seq111	0	0	0	0	818	114	84	320	323	0	0	57	0	0	0
seq112	0	0	0	0	0	0	2287	0	0	0	0	0	0	0	0
seq113	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
seq114	1073	0	941	0	0	0	0	0	0	0	0	0	0	0	0
seq116	0	0	0	693	0	0	0	0	0	0	0	0	0	0	0
seq117	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0
seq118	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0
seq119	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0
seq121	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
seq122	0	215	0	0	0	1805	0	91	217	0	274	205	0	0	0
seq123	115	201	0	0	487	0	234	170	141	0	190	194	102	0	0
seq124	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
seq125	0	0	0	562	0	0	0	0	0	0	0	0	0	0	0
seq126	0	1737	10	0	0	76	0	118	0	28	0	0	8	0	159
seq127	0	570	0	0	144	563	493	0	175	0	0	0	0	33	343
seq129	0	2042	0	0	0	0	0	0	0	0	0	0	0	0	0
seq130	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0
seq131	189	0	0	0	0	0	0	0	0	0	0	1384	0	0	0
seq133	0	0	0	205	0	0	0	0	0	0	0	0	0	0	0
seq134	0	0	0	0	0	3272	0	21	0	103	0	0	0	0	0
seq135	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0
seq136	0	0	0	26	0	0	0	0	74	0	0	0	0	0	0
seq137	0	1949	0	0	0	0	0	0	0	0	0	0	0	0	0
seq138	0	0	0	0	0	0	0	53	942	0	785	0	0	0	0
seq139	133	0	152	0	0	0	0	62	241	159	23	294	181	84	446
seq140	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0
seq141	5	1	0	0	154	0	21	162	306	9	122	298	577	7	9
seq143	0	0	0	0	0	0	174	0	0	0	14	0	0	0	1845
