2f	3f	6f	4f	15f	8f	16f	9f	17f	10f	18f	11f	12f	13f	14f
seq507	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
seq509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277
seq510	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
seq511	56	0	0	0	0	0	0	0	0	0	0	26	0	63	67
seq513	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0
seq516	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
seq517	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0
seq520	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0
seq521	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0
seq522	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0
seq523	0	226	0	0	0	0	0	0	0	0	0	0	0	0	0
seq524	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0
seq525	0	0	12	0	0	0	0	0	0	0	0	156	0	0	0
seq526	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0
seq527	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0
seq528	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
seq531	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0
seq534	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0
seq535	0	0	0	0	0	0	0	0	0	0	0	117	26	0	0
seq536	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0
seq537	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
seq540	0	17	0	0	0	0	0	0	0	4	0	139	0	0	0
seq541	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0
seq542	7	0	0	0	22	0	29	2	28	0	24	0	13	30	16
seq543	9	104	0	0	0	0	0	0	34	0	49	0	0	0	0
seq544	23	0	0	0	0	0	8	17	0	9	0	0	4	0	0
seq546	7	37	0	0	0	249	0	3	0	4	0	0	0	0	0
seq547	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
seq548	63	0	3	0	19	36	17	25	0	0	7	15	0	0	7
seq549	0	0	0	0	33	0	5	44	0	0	21	0	0	33	25
seq552	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
seq553	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0
seq554	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0
seq555	0	0	0	0	1	0	155	0	0	0	9	21	0	0	0
seq557	0	0	0	0	0	0	0	0	17	0	113	20	0	0	0
seq560	0	81	0	0	27	0	0	3	0	0	0	47	0	0	0
seq561	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0
seq562	0	11	0	0	0	305	0	0	0	0	0	0	0	0	0
seq563	0	0	0	0	0	0	0	8	0	0	0	0	0	124	0
seq564	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0
seq565	6	37	0	0	112	0	0	0	0	0	0	0	0	0	0
seq566	0	0	0	0	0	0	0	0	0	0	0	0	166	0	0
seq567	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0
seq569	0	0	0	0	0	240	0	26	0	0	0	0	0	0	0
seq570	0	0	0	0	0	0	0	0	40	0	98	0	0	0	0
seq571	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0
seq572	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0
seq576	63	0	0	0	0	30	0	2	22	23	0	0	0	27	0
seq578	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
seq579	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0
seq580	0	0	0	0	46	0	11	0	16	0	24	20	4	19	0
seq582	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
seq584	18	0	0	0	0	0	0	0	0	0	112	0	0	0	0
seq587	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0
seq589	0	0	0	0	49	0	0	0	26	0	16	14	15	10	0
seq591	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0
seq592	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0
seq593	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
seq594	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
seq595	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0
seq599	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0
seq601	0	0	0	0	0	0	0	0	182	0	0	0	0	0	0
seq602	0	4	6	0	17	6	0	0	32	0	0	0	0	0	0
seq603	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
seq604	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
seq607	19	0	0	0	0	0	19	0	20	0	40	6	0	8	7
seq610	0	0	0	0	0	0	0	0	31	0	90	0	0	13	0
seq611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180
seq613	0	45	0	0	0	52	0	0	0	0	3	45	0	8	0
seq616	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0
seq619	132	0	0	0	0	0	0	10	0	0	0	0	0	0	0
seq620	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
seq621	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0
seq624	0	0	0	0	60	0	11	2	0	0	19	0	0	6	0
seq626	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
seq628	15	0	5	0	0	0	0	0	0	0	17	0	0	0	90
seq629	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
seq630	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0
seq631	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0
seq633	0	0	0	0	0	0	0	0	0	0	0	41	0	44	0
seq635	35	0	0	0	14	0	37	0	0	0	39	0	0	0	0
seq636	0	0	0	0	0	0	0	6	0	0	9	0	0	22	95
seq637	0	0	0	0	16	0	0	0	16	0	0	0	0	0	0
seq638	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq639	0	102	0	0	0	0	0	0	0	0	0	24	0	0	0
seq641	0	0	0	0	0	0	19	0	0	19	0	0	0	0	0
seq642	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0
seq644	0	0	0	0	0	91	27	0	0	69	0	0	0	0	0
seq645	18	0	0	0	45	0	36	0	6	0	2	15	0	0	0
seq646	0	0	1	0	0	0	0	0	55	0	24	41	0	0	0
seq647	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0
seq651	0	0	0	0	0	0	0	0	48	0	18	0	75	0	0
seq652	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0
seq654	0	0	0	0	0	0	0	0	74	0	0	0	64	0	0
seq656	0	0	0	0	0	0	0	0	6	0	87	0	0	0	0
seq660	0	0	1	0	76	0	19	0	0	0	0	0	0	0	0
seq662	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0
seq663	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
seq665	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0
seq666	0	0	0	0	0	0	0	0	50	0	61	0	0	0	0
seq668	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0
seq669	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
seq670	0	0	0	0	0	0	0	0	9	0	38	0	0	31	16
seq672	0	0	0	0	0	184	0	0	0	10	0	0	0	0	0
seq675	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0
seq677	0	0	0	0	0	7	0	69	0	21	0	0	0	0	0
seq678	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0
seq681	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
seq683	9	0	5	0	0	0	5	4	17	0	35	5	0	6	4
seq684	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0
seq685	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
seq687	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0
seq691	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq699	12	0	0	0	0	0	7	55	0	0	9	0	0	2	8
seq701	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
seq702	0	0	0	0	61	0	20	0	0	17	0	0	0	0	0
seq703	0	0	0	0	33	0	0	13	0	0	26	0	0	15	0
seq705	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0
seq706	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0
seq711	13	0	0	0	10	0	0	1	6	0	6	0	0	14	43
seq713	0	0	0	0	0	79	0	0	0	0	0	24	0	17	0
seq714	0	0	0	0	21	40	6	0	0	0	16	0	12	0	0
seq716	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
seq717	0	0	0	0	0	0	0	26	0	0	4	0	0	43	0
seq718	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0
seq719	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0
seq724	0	0	0	0	0	0	0	0	8	0	75	0	0	0	0
seq725	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0
seq726	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0
seq733	0	0	0	0	0	119	0	17	0	6	0	0	0	0	0
seq736	7	4	0	0	18	77	0	3	0	4	0	0	0	0	0
seq737	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0
seq740	0	0	0	0	4	0	0	0	20	0	37	14	0	0	0
seq741	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0
seq743	15	0	0	0	0	0	0	0	30	2	37	0	0	0	0
seq745	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0
seq748	0	44	0	0	0	0	0	3	0	0	7	0	0	16	0
seq749	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0
seq751	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0
seq752	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0
seq753	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
seq755	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0
seq756	29	0	6	0	18	0	14	0	0	0	0	5	0	0	0
seq758	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
seq759	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
seq762	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0
seq764	0	0	0	0	38	0	10	0	0	0	0	20	0	0	0
seq766	0	0	0	0	0	0	0	0	0	2	66	0	0	0	0
seq769	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
seq770	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
seq771	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
seq772	0	0	0	0	10	0	0	0	29	0	26	0	0	16	0
seq774	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0
seq775	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0
seq776	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0
seq778	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
seq781	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0
seq782	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
seq783	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0
seq784	37	0	0	0	3	0	4	27	0	0	0	0	0	0	0
seq785	0	0	0	0	43	31	0	0	0	0	0	0	0	0	0
seq786	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
seq789	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0
seq792	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0
seq793	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0
seq794	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
seq795	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0
seq797	13	0	0	0	1	0	0	0	0	0	19	0	0	26	3
seq798	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0
seq802	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq804	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0
seq805	0	0	0	0	23	0	0	0	19	0	13	0	0	0	15
seq807	0	0	0	0	0	0	0	0	6	0	4	44	0	0	0
seq808	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0
seq810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70
seq811	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0
seq812	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0
seq814	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0
seq815	0	0	0	0	0	0	0	7	25	0	29	0	0	0	0
seq816	0	0	0	0	0	0	0	0	15	0	34	0	0	0	0
seq817	11	0	0	0	0	0	0	0	13	0	18	0	0	6	15
seq820	0	0	0	0	0	0	0	0	18	0	27	18	0	0	0
seq822	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
seq823	0	0	0	0	0	0	0	0	21	0	8	0	0	12	27
seq825	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
seq827	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
seq829	0	17	0	0	0	0	42	0	0	0	0	0	0	0	0
seq831	9	0	0	6	7	4	0	0	0	0	0	0	4	0	0
seq832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72
seq833	0	0	17	0	0	0	0	28	0	0	0	0	0	0	6
seq834	0	0	3	0	0	0	0	0	0	0	0	0	0	33	0
seq838	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0
seq839	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0
seq840	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
seq841	0	0	0	0	6	0	3	2	3	0	11	2	5	8	3
seq842	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0
seq843	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
seq844	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0
seq845	0	0	0	0	0	0	0	0	0	0	0	0	0	24	31
seq846	0	0	0	0	0	0	0	6	13	0	20	0	0	0	0
seq847	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq848	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
seq854	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0
seq856	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0
seq858	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0
seq859	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0
seq860	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0
seq861	21	0	0	0	0	25	0	0	0	0	0	14	0	0	0
seq862	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0
seq863	0	0	0	0	0	0	0	0	7	0	29	0	0	0	15
seq864	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0
seq865	0	0	0	0	0	0	0	0	0	0	0	30	17	0	0
seq867	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0
seq869	0	0	0	0	0	0	22	0	22	0	5	0	0	0	0
seq871	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0
seq873	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
seq879	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0
seq888	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0
seq889	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
seq890	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0
seq893	0	0	0	0	0	0	0	21	0	0	0	0	0	0	23
seq895	0	0	0	0	0	0	0	0	0	6	0	0	10	19	0
seq896	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0
seq900	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0
seq903	0	0	0	0	0	0	0	3	9	0	19	0	0	0	0
seq904	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0
seq905	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
seq907	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0
seq910	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0
seq912	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0
seq913	0	0	0	0	12	0	33	0	0	0	0	0	0	0	0
seq914	0	0	0	0	5	0	0	9	0	0	0	0	7	4	11
seq916	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0
seq917	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0
seq918	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0
seq919	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0
seq920	0	0	3	0	0	0	4	0	0	0	8	1	0	0	0
seq923	1	0	0	0	0	0	2	0	0	0	11	0	0	5	14
seq924	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
seq925	0	0	0	0	0	0	0	1	13	0	14	1	0	0	0
seq928	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0
seq929	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0
seq930	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0
seq932	0	0	0	0	0	0	0	0	11	0	20	0	0	0	0
seq936	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0
seq937	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0
seq938	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0
seq939	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0
seq942	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
seq945	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0
seq947	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0
seq948	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
seq949	10	0	0	0	0	0	0	0	0	0	0	0	2	0	0
seq951	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0
seq952	0	0	0	0	0	0	0	0	0	0	18	0	0	5	0
seq956	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
seq957	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0
seq958	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0
seq960	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
seq963	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0
seq964	0	0	0	0	0	0	0	0	0	32	0	0	3	0	0
seq965	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0
seq966	0	0	0	0	13	0	16	0	0	0	0	0	0	0	0
seq967	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0
seq968	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0
seq969	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0
seq970	0	0	0	0	8	0	0	0	10	0	0	7	0	0	5
seq977	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0
seq979	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0
seq981	0	0	0	0	0	0	4	1	6	3	2	0	5	0	0
seq983	13	0	0	0	0	0	0	11	0	0	0	0	0	0	0
seq984	0	0	0	0	19	0	0	0	0	0	0	0	0	3	0
seq986	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
seq987	0	0	0	0	0	0	0	7	0	0	7	0	0	0	11
seq992	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
seq993	0	0	0	0	0	0	0	0	5	0	27	0	0	0	0
seq994	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
seq1001	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0
seq1002	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1004	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
seq1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
seq1009	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0
seq1015	0	0	0	0	0	0	0	12	0	0	0	0	0	0	10
seq1016	0	0	0	0	0	0	0	0	11	0	6	0	0	3	0
seq1017	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0
seq1018	0	0	0	0	0	0	0	0	0	0	0	0	0	15	10
seq1019	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0
seq1020	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
seq1022	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
seq1023	0	0	0	0	6	0	0	0	0	0	0	2	0	0	16
seq1024	0	0	0	0	5	0	0	0	0	0	9	0	0	0	0
seq1026	0	0	0	0	6	21	0	0	0	0	2	0	0	0	2
seq1027	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
seq1028	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
seq1030	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
seq1034	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0
seq1036	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
seq1039	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1040	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
seq1042	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
seq1044	0	0	0	0	0	0	0	0	0	0	10	4	10	0	0
seq1050	0	0	0	0	0	0	0	0	6	0	6	0	0	0	0
seq1052	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
seq1053	0	0	0	0	0	0	0	0	0	0	0	0	0	13	4
seq1054	0	0	9	0	0	0	0	0	0	0	0	0	0	6	0
seq1057	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
seq1060	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0
seq1064	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1065	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
seq1066	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
seq1068	0	0	0	0	0	0	0	0	0	8	0	6	0	0	0
seq1070	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
seq1073	0	0	0	0	0	0	1	0	0	0	0	0	0	0	21
seq1074	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
seq1075	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
seq1078	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
seq1079	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
seq1082	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
seq1083	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
seq1086	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
seq1090	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1091	8	0	0	0	0	0	0	0	0	0	0	0	7	0	0
seq1092	2	0	0	0	0	20	0	0	0	0	0	0	0	0	0
seq1094	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
seq1098	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
seq1099	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0
seq1100	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
seq1101	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
seq1102	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
seq1103	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0
seq1106	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq1108	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
seq1109	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
seq1114	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
seq1115	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
seq1117	3	0	0	0	0	0	0	0	0	0	9	0	0	0	0
seq1119	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
seq1120	0	0	0	0	6	9	0	0	0	0	0	0	0	0	0
seq1121	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0
seq1123	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0
seq1124	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
seq1126	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
seq1127	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
seq1129	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0
seq1131	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
seq1132	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
seq1133	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
seq1135	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
seq1136	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
seq1138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
seq1139	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
seq1140	0	0	0	0	0	0	5	0	8	0	0	0	0	0	0
seq1141	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
seq1144	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
seq1145	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
seq1147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14
seq1148	1	0	0	0	1	0	0	0	0	0	0	0	4	0	0
seq1150	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
seq1151	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
seq1152	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0
seq1155	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
seq1156	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
seq1157	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
seq1160	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
seq1161	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0
seq1162	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
seq1168	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
seq1169	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
seq1172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
seq1173	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
seq1175	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
seq1179	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
seq1180	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
seq1182	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
seq1183	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
seq1184	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
seq1185	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
seq1186	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
seq1187	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0
seq1189	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
seq1192	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
seq1195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
seq1196	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0
seq1198	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
seq1199	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0
seq1204	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
seq1206	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
seq1208	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
seq1209	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
seq1210	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
seq1211	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
seq1212	0	0	0	0	0	0	0	0	0	0	6	0	0	2	0
seq1214	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
seq1215	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
seq1216	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
seq1221	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
seq1223	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
seq1224	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
seq1225	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
seq1227	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
seq1228	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
seq1230	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
seq1231	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
seq1233	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
seq1237	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
seq1238	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
